DC,DC Result Source,(2026-08-14 - 2026-08-20) panel_login_session,(2026-08-14 - 2026-08-20) discussion_activity
US,9,232,319
US,11,513,956
US,13,266,127
US,15,0,0
US,16,1420,2055
US,17,5980,8067
EU,1,25082,136527
EU,2,24,568
EU,3,4905,17205
AU,1,42,6
AE,1,36,7
CA,1,21,992
SA,1,24,4
SA,6,19,0
SA,7,45,172
TOTAL,,38609,167005
