DC,DC Result Source,(2026-09-04 - 2026-09-10) panel_login_session,(2026-09-04 - 2026-09-10) discussion_activity
US,9,228,442
US,11,4127,706
US,13,309,226
US,15,0,0
US,16,1447,2169
US,17,8953,19174
EU,1,23449,89624
EU,2,25,84
EU,3,2338,15639
AU,1,22,25
AE,1,26,7
CA,1,17,933
SA,1,14,1
SA,6,10,1
SA,7,26,31
TOTAL,,40991,129062
