DC,DC Result Source,(2026-08-21 - 2026-08-27) panel_login_session,(2026-08-21 - 2026-08-27) discussion_activity
US,9,430,0
US,11,647,1894
US,13,277,101
US,15,0,0
US,16,1532,3444
US,17,6259,11489
EU,1,23813,88188
EU,2,36,120
EU,3,4441,16200
AU,1,93,22
AE,1,55,6
CA,1,30,83
SA,1,28,4
SA,6,21,0
SA,7,58,166
TOTAL,,37720,121717
