DC,DC Result Source,(2026-08-28 - 2026-09-03) panel_login_session,(2026-08-28 - 2026-09-03) discussion_activity
US,9,132,200
US,11,769,494
US,13,345,95
US,15,2,0
US,16,2163,2820
US,17,9678,15354
EU,1,22186,81185
EU,2,48,563
EU,3,2666,15162
AU,1,17,13
AE,1,10,1
CA,1,5,9
SA,1,4,0
SA,6,3,0
SA,7,45,53
TOTAL,,38073,115949
